"# SYNTHETIC data; cost rates are ILLUSTRATIVE assumptions, not real currency"
# cost_missed_failure=1000,cost_false_alarm=50,ratio=20,unit=illustrative cost units
# n_samples=728,n_positive_failure_days=247,n_periods_days=56
threshold,precision,recall,alerts,alerts_per_day,missed_failures,false_alarms,expected_cost,note
0.026724,0.3393,1.0000,728,13.000,0,481,24050.0,
0.044451,0.3464,1.0000,713,12.732,0,466,23300.0,
0.053593,0.3544,1.0000,697,12.446,0,450,22500.0,
0.057933,0.3622,1.0000,682,12.179,0,435,21750.0,
0.063838,0.3709,1.0000,666,11.893,0,419,20950.0,
0.071011,0.3779,0.9960,651,11.625,1,405,21250.0,
0.074725,0.3858,0.9919,635,11.339,2,390,21500.0,
0.079115,0.3919,0.9838,620,11.071,4,377,22850.0,
0.081354,0.4023,0.9838,604,10.786,4,361,22050.0,
0.084466,0.4126,0.9838,589,10.518,4,346,21300.0,
0.089844,0.4241,0.9838,573,10.232,4,330,20500.0,
0.093743,0.4337,0.9798,558,9.964,5,316,20800.0,
0.098192,0.4465,0.9798,542,9.679,5,300,20000.0,
0.103155,0.4573,0.9757,527,9.411,6,286,20300.0,
0.110348,0.4697,0.9717,511,9.125,7,271,20550.0,
0.114627,0.4819,0.9676,496,8.857,8,257,20850.0,
0.120469,0.4979,0.9676,480,8.571,8,241,20050.0,
0.123574,0.5085,0.9676,470,8.393,8,231,19550.0,cost-optimal
0.125033,0.5118,0.9636,465,8.304,9,227,20350.0,
0.130697,0.5256,0.9555,449,8.018,11,213,21650.0,
0.140356,0.5438,0.9555,434,7.750,11,198,20900.0,
0.148646,0.5598,0.9474,418,7.464,13,184,22200.0,
0.158592,0.5757,0.9393,403,7.196,15,171,23550.0,
0.165709,0.5995,0.9393,387,6.911,15,155,22750.0,
0.172352,0.6129,0.9231,372,6.643,19,144,26200.0,
0.179523,0.6292,0.9069,356,6.357,23,132,29600.0,
0.185563,0.6422,0.8866,341,6.089,28,122,34100.0,
0.191753,0.6677,0.8785,325,5.804,30,108,35400.0,
0.204065,0.6935,0.8704,310,5.536,32,95,36750.0,
0.214875,0.7177,0.8543,294,5.250,36,83,40150.0,
0.230041,0.7527,0.8502,279,4.982,37,69,40450.0,
0.243270,0.7871,0.8381,263,4.696,40,56,42800.0,
0.262247,0.8240,0.8340,250,4.464,41,44,43200.0,current
0.263502,0.8306,0.8340,248,4.429,41,42,43100.0,
0.278930,0.8707,0.8178,232,4.143,45,30,46500.0,
0.304139,0.9171,0.8057,217,3.875,48,18,48900.0,
0.333258,0.9552,0.7773,201,3.589,55,9,55450.0,
0.396651,0.9839,0.7409,186,3.321,64,3,64150.0,
0.534903,0.9941,0.6842,170,3.036,78,1,78050.0,
0.691472,0.9935,0.6235,155,2.768,93,1,93050.0,
0.847420,1.0000,0.5628,139,2.482,108,0,108000.0,
1.181463,1.0000,0.5020,124,2.214,123,0,123000.0,
1.782461,1.0000,0.4372,108,1.929,139,0,139000.0,
17.710775,1.0000,0.3765,93,1.661,154,0,154000.0,
71.285836,1.0000,0.3117,77,1.375,170,0,170000.0,
113.934255,1.0000,0.2510,62,1.107,185,0,185000.0,
131.705550,1.0000,0.1862,46,0.821,201,0,201000.0,
143.283592,1.0000,0.1255,31,0.554,216,0,216000.0,
156.921901,1.0000,0.0607,15,0.268,232,0,232000.0,
187.950341,nan,0.0000,0,0.000,247,0,247000.0,
