"# SYNTHETIC data; cost rates are ILLUSTRATIVE assumptions, not real currency"
# cost_unplanned_failure=1000,cost_planned_replacement=250,cost_inspection=50,unit=illustrative cost units
# weibull_shape=4.8113,scale_days=73.58,mtbf_days=67.41,b10_days=46.09,b50_days=68.18,n_failures=6,n_suspensions=14
# cbm_lead_days=3,detected_in_time=6/6,false_alarms_per_machine_day=0.0915
policy,cost_rate_per_machine_day,parameter,note
run-to-failure,14.8352,,
age-replacement,7.1597,T*=44.41d,recommended
condition-based,8.2826,lead>=3d,
# age-replacement cost-rate curve g(T)
replacement_age_days,cost_rate_per_machine_day,note
0.057,4386.3176,
2.565,97.4738,
5.016,49.8449,
7.523,33.2315,
9.974,25.0700,
12.482,20.0413,
14.933,16.7664,
17.441,14.3790,
19.891,12.6419,
22.399,11.2768,
24.907,10.2107,
27.358,9.3858,
29.866,8.7162,
32.316,8.2016,
34.824,7.7964,
37.275,7.5044,
39.783,7.3018,
42.234,7.1906,
44.399,7.1597,grid-min
44.741,7.1604,
47.249,7.2106,
49.700,7.3340,
52.208,7.5330,
54.659,7.7948,
57.166,8.1272,
59.617,8.5095,
62.125,8.9526,
64.576,9.4281,
67.084,9.9480,
69.534,10.4774,
72.042,11.0282,
74.550,11.5745,
77.001,12.0909,
79.509,12.5884,
81.959,13.0334,
84.467,13.4378,
86.918,13.7776,
89.426,14.0663,
91.877,14.2919,
94.384,14.4691,
96.892,14.5990,
99.343,14.6880,
101.851,14.7489,
104.302,14.7866,
106.809,14.8096,
109.260,14.8224,
111.768,14.8293,
114.219,14.8326,
116.727,14.8342,
